university,count,lat,lng,place_id,formatted_address
Chamberlain University,4,41.880818,-87.64076999999999,ChIJFcxD_vlNDogR_akATgW62k8,"500 W Monroe St Suite 28, Chicago, IL 60661, USA"
Champlain College,1,44.4731165,-73.2041352,ChIJDavHSVd6ykwR2N8anIoJn6A,"163 S Willard St, Burlington, VT 05401, USA"
Chatham University,2,40.44820319999999,-79.9242853,ChIJtRafPAbyNIgR1PXf5djjCWE,"107 Woodland Rd, Pittsburgh, PA 15232, USA"
Chicago School of Professional Psychology,2,41.8881532,-87.63371020000001,ChIJDSHRKLcsDogRDnZ718cjemM,"325 N Wells St, Chicago, IL 60654, USA"
City University of New York,1,40.7127753,-74.0059728,ChIJOwg_06VPwokRYv534QaPC8g,"New York, NY, USA"
City University of Seattle,2,47.6175471,-122.3444142,ChIJ46RZ6-Z5CEERdWyyUxMqxPU,"521 Wall St #100, Seattle, WA 98121, USA"
Claremont Graduate University,2,34.1037145,-117.7118732,ChIJ9QDDh7gxw4AREk_Gz4kNedQ,"150 E 10th St, Claremont, CA 91711, USA"
Clark Atlanta University,4,33.7515658,-84.4112315,ChIJAQAwoWgD9YgRyOk3ZYffE3U,"223 James P Brawley Dr SW, Atlanta, GA 30314, USA"
Cleveland State University,2,41.5027643,-81.67442299999999,ChIJ4YtfzWP6MIgRbq3SEWa5qQs,"2121 Euclid Ave, Cleveland, OH 44115, USA"
College of Saint Scholastica,1,46.8157787,-92.10080430000001,ChIJtwjn9kWtr1IRZHVcS9u8rqQ,"1200 Kenwood Ave, Duluth, MN 55811, USA"
College of Santa Fe,1,35.6569559,-105.9775895,ChIJhfCekXtaGIcRkie_MhDNKb0,"1600 St Michaels Dr, Santa Fe, NM 87505, USA"
College of St. Scholastica,1,46.8157787,-92.10080430000001,ChIJtwjn9kWtr1IRZHVcS9u8rqQ,"1200 Kenwood Ave, Duluth, MN 55811, USA"
College of William and Mary,1,37.2709753,-76.7162467,ChIJMWOHJcN4sIkRte0qJwGuwco,"200 Stadium Dr, Williamsburg, VA 23185, USA"
Colorado State University,3,40.5729432,-105.0848391,ChIJqZvW7DNKaYcRES8-ClBS0kU,"Fort Collins, CO 80523, USA"
Colorado Technical University,9,38.8953987,-104.8572215,ChIJ99Rks9pPE4cR4ebfGQX6VZA,"1575 Garden of the Gods Rd Suite 100, Colorado Springs, CO 80907, USA"
Columbia Southern University,2,30.3292725,-87.6532483,ChIJAe-K4nsPmogRFQz9hkNEpAs,"21982 University Ln, Orange Beach, AL 36561, USA"
Columbia University,1,40.8075355,-73.9625727,ChIJyQ3Tlj72wokRUCflR_kzeVc,"116th and Broadway, New York, NY 10027, USA"
Concordia University,2,45.4948363,-73.5779128,ChIJOdZtY2oayUwR8CdYQcbKhZ4,"1455 Blvd. De Maisonneuve Ouest, Montreal, QC H3G 1M8, Canada"
Concordia University - Portland,1,45.515232,-122.6783853,ChIJJ3SpfQsLlVQRkYXR9ua5Nhw,"Portland, OR, USA"
Concordia University Texas,1,30.4210274,-97.8361609,ChIJi5tGjq8zW4YRKrCsfVBtUgQ,"11400 Concordia University Dr, Austin, TX 78726, USA"
Converse College,1,34.9560481,-81.91890389999999,ChIJ5ZyFMIV1V4gR9kHnsnMjGtI,"580 E Main St, Spartanburg, SC 29302, USA"
Courtauld Institute of Art,1,51.5301616,-0.1146483,ChIJw6RBJUcbdkgRaBLln6Z02us,"Vernon Square, Penton Rise, London WC1X 9EW, UK"
Dakota State University,1,44.0126125,-97.1103618,ChIJpw6OKrriiIcRabb1p57J0Tc,"820 Washington Ave N, Madison, SD 57042, USA"
DePaul University,1,41.9241868,-87.65416549999999,ChIJM7hiwRzTD4gRgOBQobltwRk,"2400 N Sheffield Ave, Chicago, IL 60614, USA"
DeVry University,4,41.8070382,-88.116554,ChIJqXtAn-f4DogR1s4BKIU1x9w,"4225 Naperville Rd, Lisle, IL 60532, USA"
Delaware State University,1,39.1859284,-75.543368,ChIJa0P8UTp7x4kRV10YW_t9SbU,"1200 N Dupont Hwy, Dover, DE 19901, USA"
Drew University,1,40.7602397,-74.4266389,ChIJn-WdVuqlw4kRObRa2ReNGbA,"36 Madison Ave, Madison, NJ 07940, USA"
Drexel University,3,39.9566127,-75.18994409999999,ChIJKcBHSE7GxokR8DA8BOQt8w4,"3141 Chestnut St, Philadelphia, PA 19104, USA"
Dublin City University,1,53.38533169999999,-6.2588403,ChIJA12dLxsOZ0gRqMIHQZhFuxI,"Dublin City University, Collins Ave Ext, Whitehall, Dublin 9, Ireland"
Duke University,1,36.0014258,-78.9382286,ChIJfzLrAbLmrIkRjaMc7lUWH7I,"Durham, NC 27708, USA"
Duke University School of Law,1,35.999854,-78.9452884,ChIJHbxnBbrmrIkRrkwPRXO7LT4,"210 Science Dr, Durham, NC 27708, USA"
Duquesne University,2,40.4369485,-79.99025759999999,ChIJa3PD-1vxNIgRZWumPoCHiMk,"600 Forbes Ave, Pittsburgh, PA 15282, USA"
ECPI University,1,36.8425384,-76.178872,ChIJq6qqqpaVuokRGNK2aXYqj9o,"5555 Greenwich Rd, Virginia Beach, VA 23462, USA"
East Carolina University,1,35.6068806,-77.3665364,ChIJBxZ44pbnrokRO6nNpGL-N1I,"E 5th St, Greenville, NC 27858, USA"
East Tennessee State University,2,36.3023954,-82.36985299999999,ChIJ_ROfXcB8WogR8Qm-Esy7eq0,"1276 Gilbreath Dr, Johnson City, TN 37614, USA"
Eastern Kentucky University,2,37.7386943,-84.2999687,ChIJWe7_HLj9QogREpCajOKZedw,"521 Lancaster Ave, Richmond, KY 40475, USA"
Emory University,2,33.7973735,-84.3252791,ChIJHU-KgPcG9YgRVZzdN2J61Vg,"201 Dowman Dr, Atlanta, GA 30322, USA"
